State Name,State Abbreviation,State FIPS,Opioid Claims,Fee-for-Service Opioid Claims,Managed Care Opioid Claims,Long-Acting Opioid Claims,Fee-for-Service Long-Acting Opioid Claims,Managed Care Long-Acting Opioid Claims,Overall Claims,Fee-for-Service Overall Claims,Managed Care Overall Claims,Opioid Prescribing Rate,Fee-for-Service Opioid Prescribing Rate,Managed Care Opioid Prescribing Rate,Long-Acting Opioid Prescribing Rate,Fee-for-Service Long-Acting Opioid Prescribing Rate,Managed Care Long-Acting Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Fee-for-Service Opioid Prescribing Rate,Change in Managed Care Opioid Prescribing Rate,Change in Long-Acting Opioid Prescribing Rate ,Change in Fee-for-Service Long-Acting Opioid Prescribing Rate ,Change in Managed Care Long-Acting Opioid Prescribing Rate 
South Carolina,SC,45,"243,731","39,348","204,383","15,245","2,372","12,873","4,377,879","1,041,074","3,336,805",5.57,3.78,6.13,6.25,6.03,6.30,-1.52,-2.54,-1.54,0.64,-0.54,1.30
South Dakota,SD,46,"47,997","47,997",0,"3,470","3,470",0,"865,220","865,220",0,5.55,5.55,,7.23,7.23,,-2.40,-2.40,,0.69,0.69,
Tennessee,TN,47,"985,147","985,147",0,"47,987","47,987",0,"13,901,641","13,403,741","497,900",7.09,7.35,0.00,4.87,4.87,,-2.17,-2.33,0.00,-3.11,-3.11,
Texas,TX,48,"1,194,204","57,814","1,136,390","53,243","1,870","51,373","31,781,460","3,318,186","28,463,274",3.76,1.74,3.99,4.46,3.23,4.52,-1.28,-0.99,-1.55,0.50,-1.47,0.63
Utah,UT,49,"187,418","50,077","137,341","19,083","3,700","15,383","2,522,821","1,130,907","1,391,914",7.43,4.43,9.87,10.18,7.39,11.20,-0.89,-2.05,0.13,2.16,-1.23,3.50
Vermont,VT,50,"96,756","96,756",0,"12,947","12,947",0,"1,485,089","1,485,089",0,6.52,6.52,,13.38,13.38,,-2.72,-2.72,,-0.18,-0.18,
Virginia,VA,51,"533,867","52,637","481,230","33,653","2,870","30,783","10,217,882","1,603,911","8,613,971",5.22,3.28,5.59,6.30,5.45,6.40,-1.82,-1.64,-2.05,-0.39,-3.78,0.17
Washington,WA,53,"1,057,029","129,942","927,087","91,452","6,649","84,803","14,458,886","1,267,189","13,191,697",7.31,10.25,7.03,8.65,5.12,9.15,-1.69,2.16,-2.43,-2.31,-7.09,-1.27
West Virginia,WV,54,"437,998","146,192","291,806","18,782","9,137","9,645","9,538,104","3,332,487","6,205,617",4.59,4.39,4.70,4.29,6.25,3.31,-2.45,-2.67,-2.22,-0.84,0.29,2.12
Wisconsin,WI,55,"827,059","824,584","2,475","92,828","92,215",613,"11,273,768","11,234,049","39,719",7.34,7.34,6.23,11.22,11.18,24.77,-1.38,-1.37,-6.51,0.13,0.09,14.42
Wyoming,WY,56,"31,730","31,730",0,"2,383","2,383",0,"449,279","449,279",0,7.06,7.06,,7.51,7.51,,-1.60,-1.60,,-1.50,-1.50,
