State Name,State Abbreviation,State FIPS,Opioid Claims,Fee-for-Service Opioid Claims,Managed Care Opioid Claims,Long-Acting Opioid Claims,Fee-for-Service Long-Acting Opioid Claims,Managed Care Long-Acting Opioid Claims,Overall Claims,Fee-for-Service Overall Claims,Managed Care Overall Claims,Opioid Prescribing Rate,Fee-for-Service Opioid Prescribing Rate,Managed Care Opioid Prescribing Rate,Long-Acting Opioid Prescribing Rate,Fee-for-Service Long-Acting Opioid Prescribing Rate,Managed Care Long-Acting Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Fee-for-Service Opioid Prescribing Rate,Change in Managed Care Opioid Prescribing Rate,Change in Long-Acting Opioid Prescribing Rate ,Change in Fee-for-Service Long-Acting Opioid Prescribing Rate ,Change in Managed Care Long-Acting Opioid Prescribing Rate 
Oklahoma,OK,40,"442,199","442,199",0,"36,492","36,492",0,"5,691,614","5,691,614",0,7.77,7.77,,8.25,8.25,,-1.17,-1.17,,2.13,2.13,
Oregon,OR,41,"633,227","53,064","580,163","61,073","3,496","57,577","8,363,836","1,971,572","6,392,264",7.57,2.69,9.08,9.64,6.59,9.92,-2.42,-0.26,-3.23,-0.22,-5.89,0.26
Pennsylvania,PA,42,"1,676,045","55,029","1,621,016","148,035","4,835","143,200","25,818,368","1,273,053","24,545,315",6.49,4.32,6.60,8.83,8.79,8.83,-0.24,-0.96,-0.28,-0.04,-5.21,0.36
Rhode Island,RI,44,"151,559","6,314","145,245","8,775",366,"8,409","3,051,011","174,773","2,876,238",4.97,3.61,5.05,5.79,5.80,5.79,-0.47,0.03,-0.77,-0.86,-3.49,-0.53
South Carolina,SC,45,"224,121","47,175","176,946","17,665","2,862","14,803","3,843,350","1,073,032","2,770,318",5.83,4.40,6.39,7.88,6.07,8.37,-1.26,-1.92,-1.28,2.27,-0.50,3.37
South Dakota,SD,46,"49,080","49,080",0,"3,625","3,625",0,"763,637","763,637",0,6.43,6.43,,7.39,7.39,,-1.52,-1.52,,0.85,0.85,
Tennessee,TN,47,"898,755","898,755",0,"68,449","68,449",0,"11,720,235","11,255,251","464,984",7.67,7.99,0.00,7.62,7.62,,-1.59,-1.69,0.00,-0.36,-0.36,
Texas,TX,48,"1,208,796","66,305","1,142,491","56,702","2,066","54,636","30,619,761","3,913,931","26,705,830",3.95,1.69,4.28,4.69,3.12,4.78,-1.09,-1.04,-1.26,0.73,-1.58,0.89
Utah,UT,49,"210,249","63,311","146,938","21,411","5,997","15,414","2,539,826","1,202,726","1,337,100",8.28,5.26,10.99,10.18,9.47,10.49,-0.04,-1.22,1.25,2.16,0.85,2.79
Vermont,VT,50,"107,858","107,858",0,"14,445","14,445",0,"1,467,098","1,467,098",0,7.35,7.35,,13.39,13.39,,-1.89,-1.89,,-0.17,-0.17,
Virginia,VA,51,"570,976","52,214","518,762","39,101","3,169","35,932","9,471,203","1,473,912","7,997,291",6.03,3.54,6.49,6.85,6.07,6.93,-1.01,-1.38,-1.15,0.16,-3.16,0.70
Washington,WA,53,"975,769","170,683","805,086","103,187","11,443","91,744","12,590,630","1,539,448","11,051,182",7.75,11.09,7.29,10.57,6.70,11.40,-1.25,3.00,-2.17,-0.39,-5.51,0.98
West Virginia,WV,54,"513,535","361,579","151,956","23,236","19,468","3,768","8,763,157","5,921,521","2,841,636",5.86,6.11,5.35,4.52,5.38,2.48,-1.18,-0.95,-1.57,-0.61,-0.58,1.29
Wisconsin,WI,55,"765,687","762,774","2,913","106,292","105,564",728,"9,234,644","9,196,223","38,421",8.29,8.29,7.58,13.88,13.84,24.99,-0.43,-0.42,-5.16,2.79,2.75,14.64
Wyoming,WY,56,"36,460","36,460",0,"3,002","3,002",0,"446,838","446,838",0,8.16,8.16,,8.23,8.23,,-0.50,-0.50,,-0.78,-0.78,
